,genres,app_name,Item_name,Hours_Played,release_year,sentiment_analysis
52,Adventure,ORION: Prelude,ORION: Prelude,0.52,2013,0
53,Action,Unturned,Unturned,1.97,2017,2
54,RPG,Robocraft,Robocraft,31.38,2017,2
55,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,143.55,2012,2
56,Adventure,Scribblenauts Unlimited,Scribblenauts Unlimited,0.98,2012,2
57,Simulation,Garry's Mod,Garry's Mod,49.5,2006,2
58,Massively Multiplayer,PlanetSide 2,PlanetSide 2,0.73,2012,0
59,RPG,Trove,Trove,3.05,2015,2
60,Action,Just Cause 2,Just Cause 2,14.43,2010,2
61,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,426.48,2012,0
62,Indie,Garry's Mod,Garry's Mod,63.97,2006,1
63,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,1.2,2012,2
64,Action,PAYDAY™ The Heist,PAYDAY: The Heist,0.0,2011,2
65,Action,Warframe,Warframe,0.02,2013,2
66,Strategy,Command & Conquer: Red Alert 3,Command and Conquer: Red Alert 3,9.68,2008,2
67,Casual,Unturned,Unturned,0.0,2017,2
68,Free to Play,Warframe,Warframe,12.98,2013,2
69,Adventure,Unturned,Unturned,0.0,2017,2
70,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,74.9,2012,0
71,Action,How to Survive,How to Survive,10.37,2013,2
72,Indie,Spiral Knights,Spiral Knights,87.6,2011,2
73,Indie,Realm of the Mad God,Realm of the Mad God,0.13,2012,2
74,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,12.75,2012,2
75,Massively Multiplayer,Rust,Rust,59.88,2013,2
76,Simulation,Garry's Mod,Garry's Mod,718.48,2006,2
77,Action,PlanetSide 2,PlanetSide 2,0.0,2012,2
78,Indie,Garry's Mod,Garry's Mod,387.43,2006,0
79,Indie,Bastion,Bastion,1.48,2011,2
80,Adventure,Terraria,Terraria,0.2,2011,2
81,Indie,Beat Hazard,Beat Hazard,2.12,2010,2
82,Adventure,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,0.1,2013,0
83,Massively Multiplayer,Rust,Rust,151.6,2013,2
84,Action,Grand Theft Auto V,Grand Theft Auto V,422.73,2015,0
85,Action,SpeedRunners,SpeedRunners,4.6,2016,2
86,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,23.62,2012,0
87,Indie,Rust,Rust,130.6,2013,2
88,Simulation,Garry's Mod,Garry's Mod,58.78,2006,2
89,Action,Terraria,Terraria,19.72,2011,2
90,Action,Fistful of Frags,Fistful of Frags,4.53,2014,2
91,Simulation,Garry's Mod,Garry's Mod,378.63,2006,2
92,Adventure,This War of Mine,This War of Mine,7.8,2014,0
93,Simulation,Five Nights at Freddy's,Five Nights at Freddy's,0.15,2014,2
94,Indie,Garry's Mod,Garry's Mod,43.33,2006,2
95,Action,Saints Row: The Third,Saints Row: The Third,2.95,2011,2
96,Action,The Forest,The Forest,10.75,2014,2
97,RPG,Borderlands 2,Borderlands 2,173.33,2012,2
98,Simulation,Surgeon Simulator,Surgeon Simulator,0.1,2013,0
99,Action,BioShock Infinite,BioShock Infinite,10.73,2013,2
100,Early Access,Rust,Rust,186.92,2013,2
101,Action,BioShock Infinite,BioShock Infinite,17.68,2013,2
102,Casual,Clicker Heroes,Clicker Heroes,0.4,2015,2
103,Casual,Unturned,Unturned,1.88,2017,2
104,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,29.28,2012,0
105,RPG,Rust,Rust,36.55,2013,2
106,Indie,Kerbal Space Program,Kerbal Space Program,0.67,2015,2
107,Indie,Ace of Spades: Battle Builder,Ace of Spades,7.58,2012,2
108,Massively Multiplayer,DayZ,DayZ,5.73,2013,0
109,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,629.1,2012,2
110,Strategy,Arma 2: Operation Arrowhead,Arma 2: Operation Arrowhead,53.83,2010,2
111,Adventure,The Binding of Isaac,The Binding of Isaac,8.32,2011,2
112,Indie,Insurgency,Insurgency,12.63,2014,2
113,Action,Unturned,Unturned,5.28,2017,2
114,Massively Multiplayer,H1Z1,H1Z1: King of the Kill,0.0,2016,2
115,Simulation,Garry's Mod,Garry's Mod,317.45,2006,2
116,RPG,Terraria,Terraria,3.0,2011,2
117,Free to Play,Heroes & Generals,Heroes & Generals,0.8,2016,2
118,Free to Play,Warframe,Warframe,6.72,2013,1
119,Indie,Fistful of Frags,Fistful of Frags,0.0,2014,2
120,Free to Play,APB Reloaded,APB Reloaded,7.52,2011,2
121,Action,Left 4 Dead 2,Left 4 Dead 2,27.35,2009,2
122,Action,Half-Life 2,Half-Life 2,0.0,2004,2
123,Indie,Loadout,Loadout,14.3,2014,2
124,Indie,FTL: Faster Than Light,FTL: Faster Than Light,10.93,2012,2
125,Action,Rust,Rust,3.45,2013,2
126,Action,Unturned,Unturned,19.1,2017,0
127,Indie,Garry's Mod,Garry's Mod,8.03,2006,2
128,Indie,Chivalry: Medieval Warfare,Chivalry: Medieval Warfare,10.68,2012,2
129,Action,Magicka,Magicka,4.53,2011,2
130,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,49.65,2012,2
131,Indie,The Plan,The Plan,0.15,2013,0
132,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,7.32,2012,2
133,Action,Portal 2,Portal 2,43.4,2011,2
134,Adventure,Batman: Arkham City - Game of the Year Edition,Batman: Arkham City GOTY,35.93,2012,2
135,Simulation,Garry's Mod,Garry's Mod,11.93,2006,2
136,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,16.48,2012,2
137,Action,DayZ,DayZ,140.17,2013,2
138,Indie,Robocraft,Robocraft,0.0,2017,1
139,Indie,Garry's Mod,Garry's Mod,294.27,2006,2
140,Simulation,Garry's Mod,Garry's Mod,2.38,2006,2
141,RPG,Starbound,Starbound,1.5,2016,2
142,Indie,Unturned,Unturned,1.75,2017,2
143,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,7.28,2012,2
144,RPG,Terraria,Terraria,83.03,2011,2
145,Indie,Brawlhalla,Brawlhalla,1.03,2017,2
146,Indie,DayZ,DayZ,17.85,2013,2
147,Indie,Terraria,Terraria,18.33,2011,2
148,Indie,Castle Crashers®,Castle Crashers,12.05,2012,2
149,Casual,AdVenture Capitalist,AdVenture Capitalist,6.83,2015,2
150,Free to Play,PlanetSide 2,PlanetSide 2,0.0,2012,2
151,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,1000.77,2012,2
152,Indie,Emily is Away,Emily is Away,1.35,2015,2
153,Free to Play,Unturned,Unturned,11.75,2017,2
154,Free to Play,Unturned,Unturned,9.8,2017,2
155,Indie,Robocraft,Robocraft,0.13,2017,2
156,Massively Multiplayer,Realm of the Mad God,Realm of the Mad God,0.32,2012,2
157,Adventure,Rust,Rust,5.97,2013,2
158,Action,Rust,Rust,1.02,2013,2
159,Indie,Terraria,Terraria,39.18,2011,2
160,RPG,Borderlands 2,Borderlands 2,20.62,2012,2
161,Free to Play,PlanetSide 2,PlanetSide 2,46.47,2012,2
162,Action,DARK SOULS™: Prepare To Die™ Edition,Dark Souls: Prepare to Die Edition,11.72,2012,2
163,Indie,Terraria,Terraria,2.75,2011,2
164,RPG,Alpha Protocol™,Alpha Protocol,7.73,2010,2
165,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,387.15,2012,2
166,Action,Saints Row: The Third,Saints Row: The Third,5.33,2011,2
167,Indie,Unturned,Unturned,0.1,2017,2
168,Action,Counter-Strike: Source,Counter-Strike: Source,0.52,2004,2
169,Indie,Garry's Mod,Garry's Mod,401.55,2006,2
170,RPG,ORION: Prelude,ORION: Prelude,0.27,2013,0
171,Simulation,Garry's Mod,Garry's Mod,155.95,2006,2
172,Indie,Garry's Mod,Garry's Mod,56.37,2006,0
173,Action,Trials Evolution: Gold Edition,Trials Evolution Gold Edition,9.58,2013,2
174,Indie,Unturned,Unturned,4.72,2017,2
175,Indie,Undertale,Undertale,0.0,2015,2
176,Simulation,Goat Simulator,Goat Simulator,20.43,2014,0
177,Action,The Binding of Isaac,The Binding of Isaac,0.85,2011,2
178,Free to Play,Unturned,Unturned,40.72,2017,2
179,RPG,The Binding of Isaac,The Binding of Isaac,40.12,2011,2
180,Simulation,Robocraft,Robocraft,16.45,2017,2
181,Massively Multiplayer,PlanetSide 2,PlanetSide 2,39.35,2012,2
182,RPG,Terraria,Terraria,598.13,2011,2
183,Action,Hitman: Blood Money,Hitman: Blood Money,0.03,2006,2
184,RPG,Robocraft,Robocraft,6.52,2017,2
185,Free to Play,Unturned,Unturned,15.0,2017,2
186,Action,Left 4 Dead 2,Left 4 Dead 2,6.3,2009,0
187,RPG,Borderlands 2,Borderlands 2,233.27,2012,2
188,Free to Play,Dirty Bomb®,Dirty Bomb,0.0,2015,2
189,Simulation,Garry's Mod,Garry's Mod,32.88,2006,2
190,Adventure,Unturned,Unturned,0.13,2017,2
191,Action,Verdun,Verdun,60.9,2015,2
192,Simulation,Garry's Mod,Garry's Mod,115.58,2006,2
193,Action,Borderlands 2,Borderlands 2,13.35,2012,2
194,Simulation,Robocraft,Robocraft,0.0,2017,2
195,Massively Multiplayer,DayZ,DayZ,5.68,2013,2
196,Casual,Unturned,Unturned,61.92,2017,2
197,Action,Unturned,Unturned,17.78,2017,0
198,Casual,Unturned,Unturned,0.85,2017,2
199,Strategy,Prison Architect,Prison Architect,4.7,2015,2
200,Simulation,Garry's Mod,Garry's Mod,10.35,2006,2
201,Action,Day of Defeat: Source,Day of Defeat: Source,0.0,2010,2
202,Action,Crypt of the NecroDancer,Crypt of the NecroDancer,33.33,2015,2
203,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,67.38,2012,2
204,Action,Arma 3,Arma 3,25.4,2013,2
205,Racing,Rocket League®,Rocket League,36.27,2015,2
206,Free to Play,Unturned,Unturned,1.75,2017,2
207,Casual,AdVenture Capitalist,AdVenture Capitalist,0.0,2015,2
208,Action,Left 4 Dead 2,Left 4 Dead 2,10.77,2009,0
209,Indie,Garry's Mod,Garry's Mod,14.1,2006,2
210,Indie,Garry's Mod,Garry's Mod,200.9,2006,0
211,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,311.58,2012,2
212,Action,Half-Life 2,Half-Life 2,10.22,2004,2
213,Action,Left 4 Dead 2,Left 4 Dead 2,11.33,2009,2
214,Indie,Garry's Mod,Garry's Mod,83.05,2006,2
215,Indie,Unturned,Unturned,1.4,2017,2
216,Indie,Terraria,Terraria,0.42,2011,2
217,Simulation,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,Rising Storm/Red Orchestra 2 Multiplayer,35.65,2011,2
218,Massively Multiplayer,PlanetSide 2,PlanetSide 2,1.08,2012,2
219,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,3.37,2012,2
220,Adventure,Don't Starve Together,Don't Starve Together,112.27,2016,2
221,Racing,Rocket League®,Rocket League,42.75,2015,2
222,Indie,Garry's Mod,Garry's Mod,47.98,2006,2
223,Free to Play,Warframe,Warframe,14.98,2013,2
224,Massively Multiplayer,DayZ,DayZ,9.42,2013,2
225,Adventure,Starbound,Starbound,16.17,2016,2
226,Casual,Unturned,Unturned,8.33,2017,2
227,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,700.23,2012,2
228,Indie,Chivalry: Medieval Warfare,Chivalry: Medieval Warfare,2.2,2012,2
229,Adventure,Assassin's Creed 2 Deluxe Edition,Assassin's Creed II,0.58,2010,2
230,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,170.12,2012,0
231,Indie,Terraria,Terraria,21.02,2011,2
232,Free to Play,Robocraft,Robocraft,1.1,2017,2
233,Indie,Rust,Rust,110.7,2013,2
234,Indie,Goat Simulator,Goat Simulator,15.95,2014,2
235,Indie,Garry's Mod,Garry's Mod,31.32,2006,2
236,Strategy,Worms Clan Wars,Worms Clan Wars,8.73,2013,2
237,Indie,Starbound,Starbound,18.23,2016,2
238,Action,Counter-Strike: Source,Counter-Strike: Source,8.58,2004,2
239,Indie,Bad Rats: the Rats' Revenge,Bad Rats,0.93,2009,2
240,Adventure,The Binding of Isaac,The Binding of Isaac,13.3,2011,2
241,Action,Left 4 Dead 2,Left 4 Dead 2,2.13,2009,0
242,Adventure,Saints Row IV,Saints Row IV,16.82,2013,2
243,RPG,Terraria,Terraria,0.22,2011,2
244,Action,The Binding of Isaac,The Binding of Isaac,16.48,2011,2
245,Adventure,Grand Theft Auto V,Grand Theft Auto V,1.62,2015,2
246,Indie,"Papers, Please","Papers, Please",0.48,2013,2
247,Action,Half-Life 2: Lost Coast,Half-Life 2: Lost Coast,0.18,2005,2
248,Action,Portal 2,Portal 2,11.2,2011,0
249,Action,Warframe,Warframe,399.68,2013,0
250,Strategy,Monaco: What's Yours Is Mine,Monaco,0.38,2013,0
251,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,689.97,2012,2
252,Early Access,Golf With Your Friends,Golf With Your Friends,6.05,2016,2
253,Casual,Unturned,Unturned,10.55,2017,1
254,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,7.72,2012,2
255,Indie,Hotline Miami,Hotline Miami,4.93,2012,2
256,RPG,The Binding of Isaac,The Binding of Isaac,48.32,2011,0
257,Adventure,Clicker Heroes,Clicker Heroes,20.13,2015,2
258,Action,Terraria,Terraria,35.77,2011,2
259,Simulation,Garry's Mod,Garry's Mod,30.82,2006,2
260,Strategy,Dungeon Defenders,Dungeon Defenders,30.35,2011,2
261,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,0.0,2012,2
262,Action,Trove,Trove,12.37,2015,2
263,Indie,Bloody Trapland,Bloody Trapland,0.55,2013,2
264,Casual,Unturned,Unturned,1.35,2017,0
265,Indie,Garry's Mod,Garry's Mod,22.58,2006,2
266,Casual,Unturned,Unturned,3.72,2017,2
267,Indie,Garry's Mod,Garry's Mod,54.12,2006,2
268,Action,Tomb Raider,Tomb Raider,0.7,2013,2
269,Indie,Robocraft,Robocraft,13.82,2017,0
270,Action,Watch_Dogs™,Watch_Dogs,3.22,2014,2
271,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,0.42,2012,2
272,Simulation,Tropico 4,Tropico 4,0.35,2011,2
273,RPG,Terraria,Terraria,227.23,2011,2
274,Indie,Garry's Mod,Garry's Mod,305.68,2006,2
275,Indie,Unturned,Unturned,6.25,2017,2
276,Massively Multiplayer,PlanetSide 2,PlanetSide 2,143.75,2012,2
277,RPG,Rust,Rust,1.6,2013,2
278,Action,Unturned,Unturned,0.57,2017,2
279,Simulation,Garry's Mod,Garry's Mod,72.17,2006,2
280,Action,Rust,Rust,294.55,2013,2
281,Action,Unturned,Unturned,9.17,2017,2
282,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,4.0,2012,2
283,Indie,Fistful of Frags,Fistful of Frags,0.0,2014,0
284,Simulation,Robocraft,Robocraft,1.7,2017,2
285,Indie,Garry's Mod,Garry's Mod,64.15,2006,2
286,RPG,Terraria,Terraria,28.28,2011,2
287,Free to Play,Unturned,Unturned,10.38,2017,2
288,Indie,Unturned,Unturned,2.38,2017,2
289,Adventure,Unturned,Unturned,20.28,2017,2
290,Action,Tribes: Ascend,Tribes: Ascend,5.03,2012,2
291,Adventure,Unturned,Unturned,0.0,2017,2
292,RPG,Robocraft,Robocraft,68.53,2017,2
293,Simulation,Euro Truck Simulator 2,Euro Truck Simulator 2,8.53,2013,2
294,Indie,Nether: Resurrected,Nether,0.27,2014,2
295,Simulation,Garry's Mod,Garry's Mod,5.47,2006,2
296,Action,Counter-Strike: Source,Counter-Strike: Source,0.0,2004,0
297,Action,The Binding of Isaac,The Binding of Isaac,4.95,2011,2
298,Indie,Loadout,Loadout,1.47,2014,0
299,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,1.83,2012,2
300,Free to Play,Defiance,Defiance,0.0,2014,0
301,Indie,Garry's Mod,Garry's Mod,138.57,2006,2
302,Free to Play,Unturned,Unturned,7.32,2017,0
303,Simulation,Garry's Mod,Garry's Mod,227.85,2006,2
304,Casual,Castle Crashers®,Castle Crashers,0.0,2012,2
305,Simulation,FTL: Faster Than Light,FTL: Faster Than Light,2.63,2012,2
306,Indie,Garry's Mod,Garry's Mod,49.5,2006,2
307,Action,Robocraft,Robocraft,0.43,2017,2
308,Action,No More Room in Hell,No More Room in Hell,7.52,2011,2
309,Strategy,EVE Online,EVE Online,0.0,2003,2
310,Indie,Robocraft,Robocraft,10.68,2017,2
311,Free to Play,Toribash,Toribash,4.28,2006,2
312,Indie,Terraria,Terraria,55.47,2011,2
313,Action,Heroes & Generals,Heroes & Generals,0.02,2016,2
314,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,192.1,2012,2
315,Early Access,DayZ,DayZ,95.28,2013,0
316,Action,Rocket League®,Rocket League,3.3,2015,2
317,Indie,Clicker Heroes,Clicker Heroes,36.83,2015,2
318,Adventure,POSTAL 2,POSTAL 2,0.0,2003,2
319,Action,Unturned,Unturned,17.05,2017,2
320,Adventure,Trove,Trove,9.85,2015,2
321,Action,You Have to Win the Game,You Have to Win the Game,0.0,2012,2
322,Indie,Unturned,Unturned,0.23,2017,0
323,Simulation,Garry's Mod,Garry's Mod,33.45,2006,2
324,RPG,Borderlands 2,Borderlands 2,371.18,2012,0
325,Adventure,Unturned,Unturned,6.1,2017,2
326,Free to Play,Robocraft,Robocraft,4.18,2017,0
327,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,15.95,2012,0
328,Massively Multiplayer,Robocraft,Robocraft,12.92,2017,2
329,Indie,Garry's Mod,Garry's Mod,4.7,2006,2
330,Action,Terraria,Terraria,0.93,2011,0
331,Simulation,Garry's Mod,Garry's Mod,1251.53,2006,2
332,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,2426.63,2012,2
333,Indie,Unturned,Unturned,4.27,2017,1
334,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,3.03,2012,0
335,Action,Terraria,Terraria,64.33,2011,2
336,Casual,Unturned,Unturned,126.93,2017,2
337,Action,SpeedRunners,SpeedRunners,9.28,2016,2
338,Adventure,"Papers, Please","Papers, Please",4.0,2013,2
339,Indie,Rust,Rust,59.88,2013,2
340,Action,Arma 2: Operation Arrowhead,Arma 2: Operation Arrowhead,3.67,2010,2
341,Action,Dead Space,Dead Space,0.0,2008,2
342,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,14.78,2012,2
343,Indie,No More Room in Hell,No More Room in Hell,0.07,2011,0
344,Simulation,Garry's Mod,Garry's Mod,286.93,2006,2
345,Indie,Garry's Mod,Garry's Mod,85.68,2006,2
346,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,60.72,2012,2
347,Action,Unturned,Unturned,2.58,2017,2
348,Indie,Undertale,Undertale,23.15,2015,2
349,Adventure,Terraria,Terraria,223.5,2011,2
350,Adventure,ARK: Survival Evolved,ARK: Survival Evolved,0.0,2017,0
351,Indie,Fistful of Frags,Fistful of Frags,2.8,2014,2
352,RPG,Rust,Rust,20.87,2013,2
353,Adventure,Unturned,Unturned,3.58,2017,2
354,Adventure,Just Cause 2,Just Cause 2,0.0,2010,0
355,Indie,Garry's Mod,Garry's Mod,4611.83,2006,2
356,Free to Play,Dungeon Defenders II,Dungeon Defenders II,1.67,2017,2
357,Racing,Sonic & All-Stars Racing Transformed,Sonic & All-Stars Racing Transformed,5.95,2013,1
358,Adventure,Guacamelee! Gold Edition,Guacamelee! Gold Edition,0.82,2013,2
359,Indie,Unturned,Unturned,0.0,2017,2
360,Simulation,Garry's Mod,Garry's Mod,141.08,2006,2
361,Adventure,Spec Ops: The Line,Spec Ops: The Line,0.0,2012,0
362,Indie,Unturned,Unturned,100.07,2017,2
363,RPG,Fable Anniversary,Fable Anniversary,18.08,2014,2
364,Massively Multiplayer,DayZ,DayZ,916.9,2013,2
365,RPG,DARK SOULS™ II,DARK SOULS™ II,62.9,2014,2
366,Massively Multiplayer,Dungeons & Dragons Online®,Dungeons & Dragons Online®,8.82,2012,2
367,Action,Nether: Resurrected,Nether,21.12,2014,2
368,Indie,Game Dev Tycoon,Game Dev Tycoon,7.43,2013,2
369,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,145.85,2012,2
370,Indie,Rust,Rust,5.67,2013,0
371,Action,Borderlands 2,Borderlands 2,12.63,2012,2
372,Action,Borderlands,Borderlands,0.0,2009,2
373,Action,Unturned,Unturned,1.13,2017,0
374,Adventure,Torchlight II,Torchlight II,4.9,2012,0
375,Simulation,Goat Simulator,Goat Simulator,5.22,2014,2
376,Simulation,Kerbal Space Program,Kerbal Space Program,6.55,2015,2
377,Action,Unturned,Unturned,9.12,2017,2
378,Action,BioShock Infinite,BioShock Infinite,24.05,2013,2
379,Free to Play,Warframe,Warframe,261.9,2013,2
380,Action,Borderlands: The Pre-Sequel,Borderlands: The Pre-Sequel,0.02,2014,2
381,Indie,Garry's Mod,Garry's Mod,2.62,2006,0
382,Action,Batman: Arkham City - Game of the Year Edition,Batman: Arkham City GOTY,54.48,2012,0
383,Action,Terraria,Terraria,52.42,2011,2
384,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,41.25,2012,2
385,Free to Play,Unturned,Unturned,48.78,2017,2
386,Indie,Terraria,Terraria,21.62,2011,2
387,Simulation,Garry's Mod,Garry's Mod,25.45,2006,2
388,Massively Multiplayer,Robocraft,Robocraft,3.17,2017,0
389,Indie,Transistor,Transistor,0.0,2014,2
390,RPG,Clicker Heroes,Clicker Heroes,28.92,2015,2
391,Action,Torchlight II,Torchlight II,0.0,2012,0
392,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,14.98,2012,2
393,Adventure,Spec Ops: The Line,Spec Ops: The Line,0.05,2012,2
394,Free to Play,Robocraft,Robocraft,34.72,2017,2
395,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,7.32,2012,0
396,Massively Multiplayer,Rust,Rust,36.38,2013,2
397,Indie,Broforce,Broforce,16.52,2015,0
398,Simulation,Garry's Mod,Garry's Mod,2.13,2006,2
399,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,262.05,2012,0
400,Simulation,Garry's Mod,Garry's Mod,57.35,2006,2
401,Action,Torchlight II,Torchlight II,1.25,2012,0
402,RPG,Mount & Blade: Warband,Mount & Blade: Warband,3.35,2010,2
403,Free to Play,Warface,Warface,0.0,2014,2
404,Simulation,Garry's Mod,Garry's Mod,477.82,2006,2
405,Action,Yet Another Zombie Defense,Yet Another Zombie Defense,1.17,2014,0
406,Action,Unturned,Unturned,26.65,2017,2
407,Adventure,Don't Starve Together,Don't Starve Together,42.75,2016,2
408,Indie,Fistful of Frags,Fistful of Frags,12.78,2014,2
409,Indie,Realm of the Mad God,Realm of the Mad God,22.28,2012,2
410,RPG,Robocraft,Robocraft,0.0,2017,2
411,Casual,Unturned,Unturned,31.53,2017,2
412,Indie,Garry's Mod,Garry's Mod,80.3,2006,0
413,Action,Rust,Rust,16.12,2013,0
414,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,573.25,2012,2
415,Free to Play,Warframe,Warframe,1.1,2013,2
416,Adventure,Just Cause 2,Just Cause 2,0.1,2010,2
417,Action,No More Room in Hell,No More Room in Hell,3.25,2011,2
418,Free to Play,Warframe,Warframe,2.13,2013,2
419,Indie,Garry's Mod,Garry's Mod,1.88,2006,0
420,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,194.02,2012,2
421,Strategy,Dungeon Defenders II,Dungeon Defenders II,1.35,2017,0
422,Action,Half-Life 2,Half-Life 2,1.68,2004,2
423,Action,Verdun,Verdun,0.52,2015,0
424,Indie,Garry's Mod,Garry's Mod,0.0,2006,2
425,Adventure,Unturned,Unturned,78.62,2017,2
426,Adventure,Unturned,Unturned,35.83,2017,2
427,Early Access,Rust,Rust,28.32,2013,2
428,Action,Left 4 Dead 2,Left 4 Dead 2,14.02,2009,2
429,Indie,BattleBlock Theater®,BattleBlock Theater,29.8,2014,2
430,Strategy,The Escapists,The Escapists,1.92,2015,2
431,Action,Life is Strange - Episode 1,Life Is Strange™,0.82,2015,1
432,RPG,Fallout: New Vegas,Fallout: New Vegas,257.8,2010,2
