,genres,release_year,Hours_Played
107,Design &amp; Illustration,2007,184.85999999999999
108,Design &amp; Illustration,2008,34.379999999999995
109,Design &amp; Illustration,2012,32457.04
110,Design &amp; Illustration,2013,4917.25
111,Design &amp; Illustration,2014,3213.83
112,Design &amp; Illustration,2015,25673.17
113,Design &amp; Illustration,2016,1892.06
114,Design &amp; Illustration,2017,0.36
115,Early Access,2012,54176.26
116,Early Access,2013,2006104.77
117,Early Access,2014,189979.59
118,Early Access,2015,228860.13
119,Early Access,2016,165136.8
120,Early Access,2017,574.35
121,Early Access,2018,102.14
122,Education,2008,34.379999999999995
123,Education,2010,0.15
124,Education,2013,5713.66
125,Education,2014,376.28
126,Education,2015,601.4
127,Education,2016,38.730000000000004
128,Education,2017,161.89
129,Free to Play,1996,2.12
130,Free to Play,1999,10598.1
131,Free to Play,2001,82.77
132,Free to Play,2003,100040.15
133,Free to Play,2005,1123.23
134,Free to Play,2006,43261.23
135,Free to Play,2007,3562.8599999999997
136,Free to Play,2008,3615.18
137,Free to Play,2009,39735.05
138,Free to Play,2010,144644.75
139,Free to Play,2011,726847.26
140,Free to Play,2012,1949155.09
141,Free to Play,2013,2462150.35
142,Free to Play,2014,680294.4
143,Free to Play,2015,2166659.49
144,Free to Play,2016,392290.69
145,Free to Play,2017,1455213.11
146,Indie,1988,233.36
147,Indie,1995,52.99
148,Indie,1996,9.53
149,Indie,1997,1080.26
150,Indie,1998,332.67
151,Indie,1999,10598.1
152,Indie,2000,88.4
153,Indie,2001,1488.03
154,Indie,2002,645.94
155,Indie,2003,36005.01
156,Indie,2004,720.76
157,Indie,2005,5642.53
158,Indie,2006,7544550.2
159,Indie,2007,22574.5
160,Indie,2008,88595.46
161,Indie,2009,64088.27
162,Indie,2010,143950.98
163,Indie,2011,3801876.02
164,Indie,2012,2077732.45
165,Indie,2013,2993047.43
166,Indie,2014,1555798.07
167,Indie,2015,2926086.68
168,Indie,2016,1513444.25
169,Indie,2017,2118240.53
170,Indie,2018,38.800000000000004
171,Massively Multiplayer,2003,100040.15
172,Massively Multiplayer,2007,1962.03
173,Massively Multiplayer,2008,1742.6100000000001
174,Massively Multiplayer,2009,34372.32
175,Massively Multiplayer,2010,125265.92
176,Massively Multiplayer,2011,725416.15
177,Massively Multiplayer,2012,1433708.5
178,Massively Multiplayer,2013,2249135.8
179,Massively Multiplayer,2014,645964.86
180,Massively Multiplayer,2015,682777.71
181,Massively Multiplayer,2016,371768.05
182,Massively Multiplayer,2017,1071109.11
183,Photo Editing,2006,2.89
184,Photo Editing,2007,184.85999999999999
185,Photo Editing,2012,44.629999999999995
186,Photo Editing,2014,1027.67
187,Photo Editing,2015,11.21
188,Photo Editing,2016,653.04
189,RPG,1988,233.36
190,RPG,1991,0.0
191,RPG,1992,36.05
192,RPG,1994,34.86
193,RPG,1996,425.1
194,RPG,1997,6112.84
195,RPG,1998,6383.08
196,RPG,1999,5547.72
197,RPG,2000,896.24
198,RPG,2001,2010.07
199,RPG,2002,29847.6
200,RPG,2003,151462.99
201,RPG,2004,1201.74
202,RPG,2005,52993.19
203,RPG,2006,31023.25
204,RPG,2007,160123.7
205,RPG,2008,174255.35
206,RPG,2009,432253.25
207,RPG,2010,1548759.56
208,RPG,2011,3846326.4
209,RPG,2012,2759048.39
210,RPG,2013,2110983.35
211,RPG,2014,1385607.32
212,RPG,2015,2554967.07
213,RPG,2016,947234.39
214,RPG,2017,1139163.62
215,RPG,2018,63.69
216,Racing,1994,4.84
217,Racing,1995,520.37
218,Racing,1996,20.04
219,Racing,1997,155.32
220,Racing,1998,252.2
221,Racing,1999,0.54
222,Racing,2000,50.25
223,Racing,2003,516.88
224,Racing,2004,57.96
225,Racing,2005,3595.27
226,Racing,2006,7215.95
227,Racing,2007,9739.18
228,Racing,2008,40532.84
229,Racing,2009,40475.74
230,Racing,2010,34461.56
231,Racing,2011,39783.37
232,Racing,2012,16640.48
233,Racing,2013,79549.5
234,Racing,2014,93060.35
235,Racing,2015,631848.32
236,Racing,2016,61170.71
237,Racing,2017,1939.03
238,Simulation,1987,3.92
239,Simulation,1988,0.02
240,Simulation,1989,84.74000000000001
241,Simulation,1990,32.13
242,Simulation,1991,2.41
243,Simulation,1992,0.18
244,Simulation,1993,1.08
245,Simulation,1994,156.52
246,Simulation,1995,16.33
247,Simulation,1996,31.97
248,Simulation,1997,83.05
249,Simulation,1998,1837.87
250,Simulation,1999,2175.72
251,Simulation,2000,1169.88
252,Simulation,2001,4153.97
253,Simulation,2002,6016.5
254,Simulation,2003,22741.16
255,Simulation,2004,2266.11
256,Simulation,2005,2917.75
257,Simulation,2006,7518424.61
258,Simulation,2007,23551.920000000002
259,Simulation,2008,79275.42
260,Simulation,2009,276072.81
261,Simulation,2010,705306.99
262,Simulation,2011,274546.92
263,Simulation,2012,489379.35
264,Simulation,2013,1848916.17
265,Simulation,2014,631389.81
266,Simulation,2015,1548862.26
267,Simulation,2016,608830.24
268,Simulation,2017,412426.51
269,Simulation,2018,36.71
270,Software Training,2008,34.379999999999995
271,Software Training,2010,0.0
272,Software Training,2013,1647.51
273,Software Training,2014,7055.67
274,Software Training,2015,610.1
275,Software Training,2016,8.02
276,Software Training,2017,161.89
277,Sports,1995,520.37
278,Sports,2005,1162.77
279,Sports,2006,186.94
280,Sports,2007,21.81
281,Sports,2008,1649.1299999999999
282,Sports,2009,4179.83
283,Sports,2010,39950.58
284,Sports,2011,15512.76
285,Sports,2012,60141.54
286,Sports,2013,104296.4
287,Sports,2014,93431.88
288,Sports,2015,696599.66
289,Sports,2016,79398.95
290,Sports,2017,381.25
291,Strategy,1988,233.36
292,Strategy,1990,1.0
293,Strategy,1991,0.0
294,Strategy,1993,3119.12
295,Strategy,1994,19.5
296,Strategy,1995,920.9300000000001
297,Strategy,1996,142.8
298,Strategy,1997,2249.82
299,Strategy,1998,436.11
300,Strategy,1999,9740.07
301,Strategy,2000,518.31
302,Strategy,2001,15870.57
303,Strategy,2002,8247.71
304,Strategy,2003,122425.46
305,Strategy,2004,61715.49
306,Strategy,2005,16972.78
307,Strategy,2006,290935.26
308,Strategy,2007,53065.42
309,Strategy,2008,136456.31
310,Strategy,2009,536349.62
311,Strategy,2010,2381852.14
312,Strategy,2011,582414.66
313,Strategy,2012,1442603.24
314,Strategy,2013,2457400.6
315,Strategy,2014,848595.53
316,Strategy,2015,1384568.88
317,Strategy,2016,530193.1
318,Strategy,2017,98945.59
319,Utilities,2006,6423.07
320,Utilities,2007,184.85999999999999
321,Utilities,2008,34.379999999999995
322,Utilities,2012,172.33
323,Utilities,2013,10908.78
324,Utilities,2014,45428.28
325,Utilities,2015,9658.93
326,Utilities,2016,1965.77
327,Utilities,2017,162.25
328,Video Production,2006,2.89
329,Video Production,2007,184.85999999999999
330,Video Production,2012,66.84
331,Video Production,2013,3748.2599999999998
332,Video Production,2014,8259.62
333,Video Production,2015,27863.8
334,Video Production,2016,23.09
335,Web Publishing,2005,1564.24
336,Web Publishing,2007,184.85999999999999
337,Web Publishing,2012,32457.04
338,Web Publishing,2013,5597.7
339,Web Publishing,2014,562.32
340,Web Publishing,2015,5814.4
341,Web Publishing,2016,2.27
342,Web Publishing,2017,161.89
